uid,等级,渠道,ip地址
1009336,1,mnwwest,"86.175.179.226, 130.176.97.77"
1010736,1,mnwwest,"177.81.73.65, 130.176.40.157"
1010836,1,mnwwest,"177.228.141.136, 130.176.174.1"
1011236,1,mnwwest,"31.4.209.133, 15.158.55.71"
1002837,1,mnwwest,"99.54.104.82, 130.176.210.118"
1006837,1,mnwwest,"92.178.37.2, 15.158.55.118"
1006937,1,mnwwest,"49.151.132.73, 130.176.93.76"
1007437,1,mnwwest,"134.117.247.128, 15.158.17.84"
1007537,1,mnwwest,"172.58.157.97, 130.176.210.118"
1008237,1,mnwwest,"192.141.93.116, 130.176.220.52"
1008737,1,mnwwest,"115.164.76.36, 64.252.188.115"
1008937,1,mnwwest,"85.245.12.33, 64.252.170.161"
1010337,1,mnwwest,"200.106.213.183, 15.158.19.133"
1000338,1,mnwwest,"124.106.227.173, 64.252.188.12"
1003238,1,mnwwest,"201.4.110.78, 15.158.19.146"
1004438,1,mnwwest,"177.245.199.17, 15.158.29.74"
1004838,1,mnwwest,"189.188.235.67, 15.158.29.116"
1005138,1,mnwwest,"103.149.100.97, 130.176.93.134"
1006938,1,mnwwest,"68.40.83.5, 15.158.2.4"
1007138,1,mnwwest,"45.228.107.62, 130.176.40.157"
1009938,1,mnwwest,"201.102.188.175, 130.176.56.76"
1011238,1,mnwwest,"109.156.88.162, 130.176.222.69"
1000139,1,mnwwest,"45.5.143.120, 15.158.8.136"
1000439,1,mnwwest,"71.113.173.17, 130.176.179.46"
1001439,1,mnwwest,"103.3.81.123, 130.176.187.74"
1001539,1,mnwwest,"82.132.224.70, 70.132.38.100"
1002539,1,mnwwest,"187.63.165.19, 15.158.19.167"
1004139,1,mnwwest,"172.115.230.67, 130.176.174.71"
1004739,1,mnwwest,"174.212.167.127, 130.176.133.8"
1005439,1,mnwwest,"177.242.220.209, 130.176.55.83"
1007939,1,mnwwest,"179.38.123.213, 130.176.220.53"
1008039,1,mnwwest,"94.12.191.180, 130.176.97.153"
1008139,1,mnwwest,"83.53.47.122, 15.158.55.79"
1008939,1,mnwwest,"190.183.23.208, 15.158.19.178"
1009439,1,mnwwest,"167.249.18.221, 15.158.8.149"
1001240,1,mnwwest,"49.150.77.157, 130.176.93.134"
1002740,1,mnwwest,"179.186.213.128, 15.158.8.168"
1006140,1,mnwwest,"109.149.96.176, 130.176.222.70"
1006540,1,mnwwest,"45.149.253.75, 64.252.166.161"
1007640,1,mnwwest,"189.169.105.92, 130.176.56.149"
1008340,1,mnwwest,"189.217.24.238, 130.176.179.46"
1008940,1,mnwwest,"181.209.7.66, 130.176.220.52"
1009140,1,mnwwest,"189.204.241.190, 130.176.55.77"
1009940,1,mnwwest,"177.87.183.106, 15.158.8.175"
1000241,1,mnwwest,"168.90.79.212, 15.158.37.16"
1000441,1,mnwwestios,"103.208.13.250, 130.176.112.10"
1001441,1,mnwwest,"177.104.254.87, 15.158.8.149"
1002041,1,mnwwest,"152.32.99.188, 130.176.93.150"
1002141,1,mnwwest,"189.190.0.241, 15.158.29.87"
1003541,1,mnwwest,"131.226.85.192, 130.176.93.150"
1004641,1,mnwwest,"177.241.178.244, 130.176.4.85"
1004841,1,mnwwest,"138.117.225.18, 130.176.40.157"
1005741,1,mnwwest,"186.19.22.138, 130.176.220.52"
1006541,1,mnwwest,"179.180.148.2, 15.158.8.168"
1006841,1,mnwwest,"168.181.253.131, 15.158.8.175"
1010341,1,mnwwest,"95.149.186.186, 130.176.222.73"
1011041,1,mnwwest,"177.183.214.191, 15.158.19.146"
1001842,1,mnwwest,"177.129.97.225, 130.176.40.100"
1002142,1,mnwwest,"177.200.84.198, 15.158.8.149"
1002442,1,mnwwest,"45.169.231.88, 130.176.164.145"
1003742,1,mnwwest,"119.93.116.75, 130.176.93.76"
1005142,1,mnwwest,"112.208.18.147, 130.176.187.10"
1005542,1,mnwwest,"86.21.177.29, 70.132.38.77"
1005742,1,mnwwest,"190.172.103.193, 130.176.220.4"
1008142,1,mnwwest,"177.53.120.20, 130.176.220.15"
1008342,1,mnwwest,"111.125.106.133, 130.176.93.82"
1010842,1,mnwwest,"210.1.129.104, 130.176.25.136"
1010942,1,mnwwest,"170.79.182.176, 64.252.175.79"
1000643,1,mnwwest,"172.58.129.193, 70.132.58.134"
1002143,1,mnwwest,"177.55.245.56, 15.158.19.178"
1002543,1,mnwwestios,"93.108.148.113, 64.252.170.151"
1003243,1,mnwwest,"201.8.140.94, 130.176.164.137"
1003443,1,mnwwest,"189.35.113.96, 15.158.19.133"
1003943,1,mnwwest,"177.126.84.248, 15.158.19.133"
1008743,1,mnwwest,"176.252.51.38, 70.132.49.145"
1000744,1,mnwwest,"49.151.116.77, 130.176.93.82"
1000844,1,mnwwest,"136.158.119.246, 130.176.93.13"
1002844,1,mnwwest,"172.58.109.172, 15.158.29.79"
